,0,1,2,3,4,5
0,1.0,0.0,0.0,0.0,1.0,0.0
1,1.0,0.0,0.0,0.0,1.0,0.2
2,1.0,0.0,0.0,0.0,1.0,0.4
3,1.0,0.0,0.0,0.0,1.0,0.6
4,1.0,0.0,0.0,0.0,1.0,0.8
5,1.0,0.0,0.0,0.2,1.0,0.0
6,1.0,0.0,0.0,0.2,1.0,0.2
7,1.0,0.0,0.0,0.2,1.0,0.4
8,1.0,0.0,0.0,0.2,1.0,0.6
9,1.0,0.0,0.0,0.2,1.0,0.8
10,1.0,0.0,0.0,0.4,1.0,0.0
11,1.0,0.0,0.0,0.4,1.0,0.2
12,1.0,0.0,0.0,0.4,1.0,0.4
13,1.0,0.0,0.0,0.4,1.0,0.6
14,1.0,0.0,0.0,0.4,1.0,0.8
15,1.0,0.0,0.0,0.6,1.0,0.0
16,1.0,0.0,0.0,0.6,1.0,0.2
17,1.0,0.0,0.0,0.6,1.0,0.4
18,1.0,0.0,0.0,0.6,1.0,0.6
19,1.0,0.0,0.0,0.6,1.0,0.8
20,1.0,0.0,0.0,0.8,1.0,0.0
21,1.0,0.0,0.0,0.8,1.0,0.2
22,1.0,0.0,0.0,0.8,1.0,0.4
23,1.0,0.0,0.0,0.8,1.0,0.6
24,1.0,0.0,0.0,0.8,1.0,0.8
25,1.0,0.0,0.2,0.0,1.0,0.0
26,1.0,0.0,0.2,0.0,1.0,0.2
27,1.0,0.0,0.2,0.0,1.0,0.4
28,1.0,0.0,0.2,0.0,1.0,0.6
29,1.0,0.0,0.2,0.0,1.0,0.8
30,1.0,0.0,0.2,0.2,1.0,0.0
31,1.0,0.0,0.2,0.2,1.0,0.2
32,1.0,0.0,0.2,0.2,1.0,0.4
33,1.0,0.0,0.2,0.2,1.0,0.6
34,1.0,0.0,0.2,0.2,1.0,0.8
35,1.0,0.0,0.2,0.4,1.0,0.0
36,1.0,0.0,0.2,0.4,1.0,0.2
37,1.0,0.0,0.2,0.4,1.0,0.4
38,1.0,0.0,0.2,0.4,1.0,0.6
39,1.0,0.0,0.2,0.4,1.0,0.8
40,1.0,0.0,0.2,0.6,1.0,0.0
41,1.0,0.0,0.2,0.6,1.0,0.2
42,1.0,0.0,0.2,0.6,1.0,0.4
43,1.0,0.0,0.2,0.6,1.0,0.6
44,1.0,0.0,0.2,0.6,1.0,0.8
45,1.0,0.0,0.2,0.8,1.0,0.0
46,1.0,0.0,0.2,0.8,1.0,0.2
47,1.0,0.0,0.2,0.8,1.0,0.4
48,1.0,0.0,0.2,0.8,1.0,0.6
49,1.0,0.0,0.2,0.8,1.0,0.8
50,1.0,0.0,0.4,0.0,1.0,0.0
51,1.0,0.0,0.4,0.0,1.0,0.2
52,1.0,0.0,0.4,0.0,1.0,0.4
53,1.0,0.0,0.4,0.0,1.0,0.6
54,1.0,0.0,0.4,0.0,1.0,0.8
55,1.0,0.0,0.4,0.2,1.0,0.0
56,1.0,0.0,0.4,0.2,1.0,0.2
57,1.0,0.0,0.4,0.2,1.0,0.4
58,1.0,0.0,0.4,0.2,1.0,0.6
59,1.0,0.0,0.4,0.2,1.0,0.8
60,1.0,0.0,0.4,0.4,1.0,0.0
61,1.0,0.0,0.4,0.4,1.0,0.2
62,1.0,0.0,0.4,0.4,1.0,0.4
63,1.0,0.0,0.4,0.4,1.0,0.6
64,1.0,0.0,0.4,0.4,1.0,0.8
65,1.0,0.0,0.4,0.6,1.0,0.0
66,1.0,0.0,0.4,0.6,1.0,0.2
67,1.0,0.0,0.4,0.6,1.0,0.4
68,1.0,0.0,0.4,0.6,1.0,0.6
69,1.0,0.0,0.4,0.6,1.0,0.8
70,1.0,0.0,0.4,0.8,1.0,0.0
71,1.0,0.0,0.4,0.8,1.0,0.2
72,1.0,0.0,0.4,0.8,1.0,0.4
73,1.0,0.0,0.4,0.8,1.0,0.6
74,1.0,0.0,0.4,0.8,1.0,0.8
75,1.0,0.0,0.6,0.0,1.0,0.0
76,1.0,0.0,0.6,0.0,1.0,0.2
77,1.0,0.0,0.6,0.0,1.0,0.4
78,1.0,0.0,0.6,0.0,1.0,0.6
79,1.0,0.0,0.6,0.0,1.0,0.8
80,1.0,0.0,0.6,0.2,1.0,0.0
81,1.0,0.0,0.6,0.2,1.0,0.2
82,1.0,0.0,0.6,0.2,1.0,0.4
83,1.0,0.0,0.6,0.2,1.0,0.6
84,1.0,0.0,0.6,0.2,1.0,0.8
85,1.0,0.0,0.6,0.4,1.0,0.0
86,1.0,0.0,0.6,0.4,1.0,0.2
87,1.0,0.0,0.6,0.4,1.0,0.4
88,1.0,0.0,0.6,0.4,1.0,0.6
89,1.0,0.0,0.6,0.4,1.0,0.8
90,1.0,0.0,0.6,0.6,1.0,0.0
91,1.0,0.0,0.6,0.6,1.0,0.2
92,1.0,0.0,0.6,0.6,1.0,0.4
93,1.0,0.0,0.6,0.6,1.0,0.6
94,1.0,0.0,0.6,0.6,1.0,0.8
