,Rain10,Rain20,Rain30,Rain40,Rain50,Rain60,Rain1,Rain2,Rain3,Rain4
BC,74,47,67,41,47,41,65,53,59,67
PPO,163,152,157,164,139,139,142,133,141,160
KG-PPO1,49,43,35,32,33,54,77,76,59,57
KG-PPO2,134,138,126,127,113,122,153,158,144,173
KG-PPO3,134,138,126,127,113,122,153,158,144,173
KG-PPO123,51,33,51,35,59,51,21,37,15,17
