,Rain10,Rain20,Rain30,Rain40,Rain50,Rain60,Rain1,Rain2,Rain3,Rain4
PPO,151,151,144,149,151,155,138,157,152,151
KG-PPO1,14,17,13,11,13,7,9,9,11,11
KG-PPO2,119,138,115,131,118,111,139,153,128,169
KG-PPO3,119,138,115,131,118,111,139,153,128,169
KG-PPO123,10,6,16,9,8,12,6,11,10,9
